Instance,Time Elapsed
syn05m04m.py,0.15892791748046875
syn10h.py,0.8420820236206055
syn10m.py,0.12840986251831055
syn10m02h.py,0.3715360164642334
syn10m02m.py,0.16472101211547852
syn10m03h.py,0.694566011428833
syn10m03m.py,0.2650611400604248
syn10m04h.py,2.213576078414917
syn10m04m.py,0.3819241523742676
syn15h.py,0.14985179901123047
syn15m.py,0.33889102935791016
syn15m02h.py,0.48357701301574707
syn15m02m.py,0.2664511203765869
syn15m03h.py,3.325083017349243
syn15m03m.py,0.39037203788757324
syn15m04h.py,5.865064859390259
syn15m04m.py,0.5096139907836914
syn20h.py,0.15357518196105957
syn20m.py,0.34255099296569824
syn20m02h.py,0.6261081695556641
syn20m02m.py,0.27643513679504395
syn20m03h.py,5.8548219203948975
syn20m03m.py,0.6020159721374512
